k,SVM Linear,Logistic Reg
1,0.8819444444444444,0.8819444444444444
2,0.9444444444444444,0.9444444444444444
3,0.8819444444444444,0.8194444444444444
4,0.9444444444444444,0.8194444444444444
5,0.9444444444444444,0.8194444444444444
6,0.8819444444444444,0.8194444444444444
7,0.8194444444444444,0.7569444444444444
8,0.8194444444444444,0.7569444444444444
9,0.8194444444444444,0.8194444444444444
10,0.7291666666666667,0.7569444444444444
11,0.7291666666666667,0.7291666666666667
12,0.7013888888888888,0.7291666666666667
13,0.6736111111111112,0.7291666666666667
14,0.7013888888888888,0.7291666666666667
15,0.7013888888888888,0.7291666666666667
16,0.7013888888888888,0.7291666666666667
17,0.7013888888888888,0.7291666666666667
18,0.7013888888888888,0.7291666666666667
