feature,p_value,effect_size_r,mean_left,std_left,mean_right,std_right
AILR_Ankle_minData_sw,8.961290425821319e-06,-0.9583333333333333,0.31440517791651595,0.3032859519957443,-0.38890442786183255,0.2194941679368781
AILR_Knee_maxData_sw,3.840553039637708e-05,0.9166666666666666,-0.14839258762412738,0.12814546774531516,0.08365099807097673,0.10167243015245486
AILR_Ankle_maxData_sw,0.011103038837592612,-0.625,0.17036948081149006,0.7002131645586581,-0.6190341170096467,0.46726031357358105
AILR_Ankle_minData_st,0.03518330639612104,-0.5277777777777777,0.12439283172989166,0.2937687549892007,-0.13954660386069187,0.31941296943702724
AILR_Hip_minData_sw,0.053968731497335616,0.48611111111111116,-0.4099156693962362,0.6214327991172857,0.15188104408439357,0.72861372789601
AILR_Hip_minData_st,0.1020716583187979,0.41666666666666663,-0.31080756552234495,0.46247648632656324,-0.04902030438550144,0.48626918986910017
AILR_stanceTime,0.14350354451040948,0.375,-0.049211334612591584,0.14224578831905488,0.052056958756238475,0.13664893206200668
AILR_stanceDuration,0.19608839672912898,0.33333333333333337,-0.03153671754053198,0.10082240113949206,0.03494381134149811,0.08532305654698666
AILR_strideLength,0.23785697140388215,0.3055555555555556,-0.030551870894456448,0.05033379984802249,0.01641052264640241,0.07125421563628927
walkingSpeed,0.23785697140388215,-0.3055555555555556,0.8157317013716164,0.3732232367008343,0.6660413741513818,0.21345839053326487
AILR_swingTime,0.3110694339984958,-0.26388888888888884,0.020523254305730494,0.06788207025280267,-0.022395855023235378,0.0760750280367029
AILR_Knee_maxData_st,0.36701092957385867,0.23611111111111116,-0.0013972483554041597,0.1559264709280396,0.06450451138932072,0.14995753644307042
AILR_Knee_minData_sw,0.3971042230081132,-0.22222222222222232,0.08293159889329561,0.7444244386001235,-0.20452092220078555,0.3108658983266743
AILR_Knee_minData_st,0.4285493911123202,0.20833333333333337,-0.17155857051366408,0.6821792380907317,0.09865855062057087,0.5580471034715497
AILR_Hip_maxData_sw,0.4613566753612521,0.19444444444444442,-0.06769274423022827,0.17960595015669586,-0.01459722161940447,0.12051835101955438
AILR_strideTime,0.6049191083516027,0.13888888888888884,-0.019604628810932716,0.07776679190037192,0.02076519692676193,0.062163908948998176
AILR_Hip_maxData_st,0.6435627530364373,-0.125,-0.011407435681993684,0.14075765310520233,-0.12100264242556684,0.2989075827893035
AILR_Ankle_maxData_st,0.8066825622889697,-0.06944444444444442,0.04885727092546732,0.44416723963380667,0.026216171822735987,0.2218617856443912
